url,name,Parking Spaces,Floor Size,Garden,Listing Number,Type of Property,Listing Date,Pets Allowed,Reception Rooms,Erf Size,Pool,price2,address,days_since_listing,Bedrooms2,Bathrooms2,Garages,Parking
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114422750?plId=1736643&plt=4&imgFocus=2,1 Bedroom Apartment / Flat for Sale,1.0,49.0,No,114422750.0,Apartment / Flat,2024-05-19,Yes,1.0,,Yes,1140000,Sandown,80,1.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114422750?plId=1736643&plt=4&imgFocus=3,1 Bedroom Apartment / Flat for Sale,1.0,49.0,No,114422750.0,Apartment / Flat,2024-05-19,Yes,1.0,,Yes,1140000,Sandown,80,1.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114741563,3 Bedroom Apartment / Flat for Sale,1.0,113.0,No,114741563.0,Apartment / Flat,2024-08-01,,0.0,,No,1879500,Sandown,6,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114584115,3 Bedroom House for Sale,4.0,,No,114584115.0,House,2024-06-26,,0.0,230.0,No,3495000,Sandown,42,3.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114713161,4 Bedroom House for Sale,2.0,210.0,Yes,114713161.0,House,2024-07-25,Yes,0.0,340.0,No,4499000,Sandown,13,4.0,3.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114747834,1 Bedroom Apartment / Flat for Sale,0.0,52.0,No,114747834.0,Apartment / Flat,2024-08-03,,0.0,,No,1200000,Sandown,4,1.0,1.0,0.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114603258,3 Bedroom House for Sale,4.0,160.0,Yes,114603258.0,House,2024-07-01,Yes,2.0,250.0,Yes,3000000,Sandown,37,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114734521,3 Bedroom House for Sale,1.0,157.0,Yes,114734521.0,House,2024-07-31,Yes,0.0,259.0,No,3149000,Sandown,7,3.0,2.0,1.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114680502,4 Bedroom House for Sale,4.0,209.0,Yes,114680502.0,House,2024-07-18,Yes,0.0,250.0,No,3780000,Sandown,20,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114718605,4 Bedroom House for Sale,4.0,210.0,No,114718605.0,House,2024-07-26,Yes,2.0,325.0,No,3799000,Sandown,12,4.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114520394,4 Bedroom House for Sale,4.0,224.0,Yes,114520394.0,House,2024-06-11,Yes,0.0,250.0,Yes,3995000,Sandown,57,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114751278,4 Bedroom House for Sale,2.0,,No,114751278.0,House,2024-08-05,,0.0,325.0,No,5300000,Sandown,2,4.0,3.5,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114670658,4 Bedroom House for Sale,2.0,230.0,No,114670658.0,House,2024-07-16,Yes,2.0,280.0,No,3850000,Sandown,22,4.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114594359,3 Bedroom Apartment / Flat for Sale,1.0,112.0,No,114594359.0,Apartment / Flat,2024-06-28,No,0.0,,No,1897500,Sandown,40,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114633111,3 Bedroom House for Sale,4.0,213.0,No,114633111.0,House,2024-07-08,Yes,2.0,325.0,Yes,4250000,Sandown,30,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114596899,4 Bedroom House for Sale,4.0,170.0,Yes,114596899.0,House,2024-06-29,Yes,2.0,250.0,Yes,3075000,Sandown,39,4.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114700064,3 Bedroom House for Sale,2.0,229.0,No,114700064.0,House,2024-07-23,,0.0,375.0,No,4699000,Sandown,15,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114716638,3 Bedroom Townhouse for Sale,2.0,,Yes,114716638.0,Townhouse,2024-07-26,,0.0,,No,2929500,Sandown,12,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114642607,3 Bedroom House for Sale,4.0,193.0,No,114642607.0,House,2024-07-10,Yes,2.0,250.0,No,3545000,Sandown,28,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114642561,4 Bedroom House for Sale,4.0,208.0,No,114642561.0,House,2024-07-10,Yes,2.0,250.0,No,3845000,Sandown,28,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114518142,3 Bedroom Apartment / Flat for Sale,1.0,118.0,No,114518142.0,Apartment / Flat,2024-06-10,Yes,0.0,4862.0,No,1984500,Sandown,58,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114688048,3 Bedroom Apartment / Flat for Sale,1.0,113.0,No,114688048.0,Apartment / Flat,2024-07-19,No,2.0,,No,1895500,Sandown,19,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114734573,3 Bedroom House for Sale,1.0,157.0,Yes,114734573.0,House,2024-07-31,Yes,0.0,259.0,No,2995000,Sandown,7,3.0,2.0,1.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/111948893,4 Bedroom House for Sale,4.0,213.0,No,111948893.0,House,2024-05-16,Yes,2.0,250.0,No,3375000,Sandown,83,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114588498,3 Bedroom House for Sale,4.0,190.0,Yes,114588498.0,House,2024-06-27,Yes,0.0,230.0,No,3495000,Sandown,41,3.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114725486,3 Bedroom Townhouse for Sale,2.0,163.0,No,114725486.0,Townhouse,2024-07-29,,0.0,,No,2929500,Sandown,9,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114696063,4 Bedroom House for Sale,4.0,211.0,No,114696063.0,House,2024-07-22,Yes,2.0,332.0,No,4350000,Sandown,16,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114484329,4 Bedroom House for Sale,1.0,210.0,Yes,114484329.0,House,2024-06-03,,0.0,250.0,No,3780000,Sandown,65,4.0,,1.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114575806,4 Bedroom House for Sale,4.0,222.0,Yes,114575806.0,House,2024-06-24,Yes,0.0,296.0,No,4195000,Sandown,44,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114699608,2 Bedroom House for Sale,2.0,,No,114699608.0,House,2024-07-23,Yes,2.0,250.0,No,2530000,Sandown,15,2.0,2.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114650709,4 Bedroom House for Sale,2.0,210.0,No,114650709.0,House,2024-07-11,Yes,2.0,275.0,No,3695000,Sandown,27,4.0,2.5,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114752977,4 Bedroom House for Sale,2.0,223.0,No,114752977.0,House,2024-08-05,Yes,0.0,275.0,No,4195000,Sandown,2,4.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114680335,3 Bedroom Apartment / Flat for Sale,1.0,118.0,No,114680335.0,Apartment / Flat,2024-07-18,Yes,0.0,,No,1984500,Sandown,20,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114475938,4 Bedroom House for Sale,2.0,227.0,Yes,114475938.0,House,2024-05-31,,2.0,250.0,No,3995000,Sandown,68,4.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114484160,3 Bedroom Apartment / Flat for Sale,0.0,137.0,No,114484160.0,Apartment / Flat,2024-06-03,,0.0,,No,1984500,Sandown,65,3.0,2.0,0.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114478628,2 Bedroom Apartment / Flat for Sale,2.0,108.0,No,114478628.0,Apartment / Flat,2024-05-31,,0.0,108.0,Yes,1760000,Sandown,68,2.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114605727,4 Bedroom House for Sale,4.0,233.0,Yes,114605727.0,House,2024-07-02,Yes,0.0,343.0,No,4190000,Sandown,36,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114565166,3 Bedroom House for Sale,2.0,208.0,No,114565166.0,House,2024-06-21,Yes,0.0,250.0,No,3545000,Sandown,47,3.0,3.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114596650,3 Bedroom Apartment / Flat for Sale,1.0,118.0,No,114596650.0,Apartment / Flat,2024-06-29,No,1.0,,No,1984500,Sandown,39,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114533805,4 Bedroom House for Sale,4.0,234.0,Yes,114533805.0,House,2024-06-13,No,0.0,248.0,No,4150000,Sandown,55,4.0,3.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114556328,5 Bedroom House for Sale,2.0,364.0,No,114556328.0,House,2024-06-19,Yes,0.0,544.0,No,6500000,Sandown,49,5.0,5.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114579227,4 Bedroom House for Sale,4.0,,Yes,114579227.0,House,2024-06-25,Yes,0.0,250.0,Yes,3995000,Sandown,43,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114491432,3 Bedroom House for Sale,2.0,150.0,Yes,114491432.0,House,2024-06-04,Yes,2.0,,No,2700000,Sandown,64,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114473352,3 Bedroom House for Sale,4.0,190.0,Yes,114473352.0,House,2024-05-30,Yes,0.0,230.0,No,3495000,Sandown,69,3.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114581096,3 Bedroom Apartment / Flat for Sale,1.0,118.0,No,114581096.0,Apartment / Flat,2024-06-25,,0.0,,No,1984500,Sandown,43,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114735885,4 Bedroom House for Sale,4.0,224.0,Yes,114735885.0,House,2024-07-31,Yes,2.0,334.0,No,3999000,Sandown,7,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114330494,4 Bedroom House for Sale,2.0,265.0,Yes,114330494.0,House,2024-04-26,Yes,0.0,306.0,No,4749000,Sandown,103,4.0,4.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114521198,2 Bedroom Apartment / Flat for Sale,1.0,49.0,No,114521198.0,Apartment / Flat,2024-06-11,No,2.0,49.0,No,849900,Sandown,57,2.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114438564,4 Bedroom House for Sale,4.0,237.0,Yes,114438564.0,House,2024-05-22,Yes,0.0,386.0,No,4495000,Sandown,77,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114411617,4 Bedroom House for Sale,2.0,237.0,Yes,114411617.0,House,2024-05-16,,0.0,250.0,No,4050000,Sandown,83,4.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114410986,4 Bedroom House for Sale,4.0,209.0,No,114410986.0,House,2024-05-16,No,2.0,250.0,No,3780000,Sandown,83,4.0,2.5,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114585216,3 Bedroom House for Sale,2.0,115.0,Yes,114585216.0,House,2024-06-26,Yes,0.0,250.0,No,2399000,Sandown,42,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114713714,3 Bedroom House for Sale,0.0,,Yes,114713714.0,House,2024-07-25,Yes,1.0,,No,2999999,Sandown,13,3.0,2.0,0.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114593753,3 Bedroom House for Sale,2.0,180.0,No,114593753.0,House,2024-06-28,Yes,1.0,250.0,Yes,3015000,Sandown,40,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114446268,3 Bedroom House for Sale,2.0,190.0,Yes,114446268.0,House,2024-05-23,,2.0,229.0,No,3495000,Sandown,76,3.0,2.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114441208,4 Bedroom House for Sale,2.0,170.0,Yes,114441208.0,House,2024-05-22,Yes,0.0,250.0,Yes,2750000,Sandown,77,4.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114589923,3 Bedroom Townhouse for Sale,2.0,163.0,No,114589923.0,Townhouse,2024-06-27,Yes,0.0,,No,2929500,Sandown,41,3.0,2.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114567292,2 Bedroom Apartment / Flat for Sale,2.0,70.0,No,114567292.0,Apartment / Flat,2024-06-21,Yes,0.0,,Yes,2400000,Sandown,47,2.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114582823,5 Bedroom House for Sale,4.0,364.0,No,114582823.0,House,2024-06-26,Yes,0.0,544.47,No,6500000,Sandown,42,5.0,5.0,1.0,3.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114441191,3 Bedroom House for Sale,2.0,227.0,Yes,114441191.0,House,2024-05-22,,0.0,260.0,No,3750000,Sandown,77,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114560311,3 Bedroom House for Sale,4.0,190.0,Yes,114560311.0,House,2024-06-20,Yes,0.0,230.0,No,3495000,Sandown,48,3.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114507877,2 Bedroom Apartment / Flat for Sale,1.0,49.0,No,114507877.0,Apartment / Flat,2024-06-07,No,2.0,49.0,No,899900,Sandown,61,2.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114508795,2 Bedroom Apartment / Flat for Sale,1.0,49.0,No,114508795.0,Apartment / Flat,2024-06-07,No,2.0,49.0,No,839900,Sandown,61,2.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114674312,2 Bedroom House for Sale,1.0,102.0,Yes,114674312.0,House,2024-07-17,,0.0,250.0,No,2400000,Sandown,21,2.0,2.0,1.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114489687,3 Bedroom Apartment / Flat for Sale,1.0,113.0,No,114489687.0,Apartment / Flat,2024-06-04,,0.0,,No,1879500,Sandown,64,3.0,1.5,1.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114560590,4 Bedroom House for Sale,4.0,223.0,Yes,114560590.0,House,2024-06-20,Yes,0.0,297.0,No,4200000,Sandown,48,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114740232,4 Bedroom House for Sale,4.0,,No,114740232.0,House,2024-08-01,,0.0,250.0,No,3550000,Sandown,6,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114611742,3 Bedroom House for Sale,4.0,193.0,No,114611742.0,House,2024-07-03,Yes,0.0,250.0,No,3495000,Sandown,35,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114576830,3 Bedroom House for Sale,4.0,160.0,Yes,114576830.0,House,2024-06-25,Yes,0.0,250.0,No,2900000,Sandown,43,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114576975,3 Bedroom House for Sale,3.0,180.0,Yes,114576975.0,House,2024-06-25,Yes,0.0,344.0,Yes,3150000,Sandown,43,3.0,2.0,2.0,1.0
